time,no2,o3,pm10,pm25,month,day_of_week,is_weekend,pm10_roll_3,pm10_roll_7,no2_roll_3,no2_roll_7,o3_roll_3,o3_roll_7
2019-03-20 00:00:00+00:00,35.80833333333333,76.59166666666667,17.860416666666666,9.366666666666667,3,2,FALSE,14.462615740740745,14.33204365079365,35.833333333333336,43.458035714285714,73.25078502,54.97751035196688
2019-03-21 00:00:00+00:00,52.77291666666667,62.37083333333334,26.384375000000002,15.588888888888889,3,3,FALSE,19.143865740740747,16.124156746031748,41.12430555555556,43.81339285714286,69.62222222222222,57.255486542443066
2019-03-22 00:00:00+00:00,75.64583333333333,40.666666666666664,42.29270833333333,25.884027777777778,3,4,FALSE,28.845833333333335,20.205723775017255,54.74236111111111,45.991058488612836,59.87638889,58.46811594202899
2019-03-23 00:00:00+00:00,54.65208333333334,57.50416666666666,31.134375000000002,19.615277777777777,3,5,TRUE,33.27048611111112,22.368223775017253,61.02361111111111,46.352665631469975,53.513888888888886,62.361878881987586
2019-03-24 00:00:00+00:00,38.99166666666667,91.63043478,35.494791666666664,28.430555555555557,3,6,TRUE,36.307291666666664,25.527728174603173,56.42986111111111,47.080357142857146,63.26708937198068,67.41777950310559
2019-03-25 00:00:00+00:00,29.347916666666666,78.47500000000001,33.036458333333336,21.216666666666665,3,0,FALSE,33.221875000000004,28.484275793650795,40.99722222222223,46.00148809523809,75.86986714975846,68.16327639751553
2019-03-26 00:00:00+00:00,24.675,85.28333333333333,20.203125,7.293055555555555,3,1,FALSE,29.578125,29.486607142857142,31.00486111111111,44.55625,85.12958937198069,70.36030020703934
2019-03-27 00:00:00+00:00,31.87708333333333,81.75416666666666,20.190625,10.834722222222224,3,2,FALSE,24.476736111111112,29.81949404761905,28.633333333333336,43.99464285714286,81.83749999999999,71.09780020703934
2019-03-28 00:00:00+00:00,41.670833333333334,70.29166666666667,19.957291666666666,11.316666666666665,3,3,FALSE,20.117013888888888,28.901339285714283,32.74097222222222,42.40863095238095,79.10972222222222,72.22934782608696
2019-03-29 00:00:00+00:00,54.199999999999996,65.39166666666667,27.376388888888886,14.540277777777776,3,4,FALSE,22.50810185185185,26.770436507936505,42.58263888888889,39.34494047619047,72.47916666666667,75.76149068322981
2019-03-30 00:00:00+00:00,41.64791666666667,90.27916666666665,21.278472222222224,11.216666666666667,3,5,TRUE,22.870717592592595,25.3624504,45.83958333333334,37.48720238095238,75.32083333333334,80.44363354037266
2019-03-31 00:00:00+00:00,49.56041666666667,87.12083333333334,23.79375,14.015277777777778,3,6,TRUE,24.149537037037035,23.690873015873017,48.46944444444444,38.99702380952381,80.93055555555556,79.79940476190475
2019-04-01 00:00:00+00:00,69.2,57.00416666666666,36.27673611111111,20.6875,4,0,FALSE,27.116319444444446,24.153769841269842,53.46944444444444,44.690178571428575,78.13472222222221,76.73214285714286
2019-04-02 00:00:00+00:00,42.266666666666666,80.81666666666666,27.662499999999998,11.140277777777778,4,1,FALSE,29.244328703703705,25.21939484126984,53.675694444444446,47.20327380952381,74.98055555555555,76.09404761904761
2019-04-03 00:00:00+00:00,46.80833333333334,65.96249999999999,12.462499999999999,7.066666666666666,4,2,FALSE,25.467245370370367,24.115376984126986,52.758333333333326,49.336309523809526,67.92777777777776,73.83809523809524
2019-04-04 00:00:00+00:00,17.7,67.8,5.676470588235294,8.235294117647058,4,3,FALSE,15.267156862745098,22.07525968720822,35.59166666666667,45.91190476190476,71.52638888888889,73.48214285714286
2019-04-05 00:00:00+00:00,55.51666666666667,89.84166666666665,16.075,8.616666666666667,4,4,FALSE,11.40465686,20.46077556022409,40.00833333333333,46.10000000000001,74.53472222222221,76.975
2019-04-06 00:00:00+00:00,38.28958333333333,79.89583333333333,13.117708333333333,7.673611111111111,4,5,TRUE,11.623059640522877,19.294952147525674,37.168749999999996,45.6202381,79.17916666666666,75.49166666666666
2019-04-07 00:00:00+00:00,39.858333333333334,70.83749999999999,10.460416666666667,6.823611111111112,4,6,TRUE,13.217708333333334,17.390190242763772,44.55486111111111,44.23422619047619,80.19166666666666,73.16547619047618
2019-04-08 00:00:00+00:00,45.37708333333333,37.729166666666664,15.483333333333334,10.044444444444444,4,0,FALSE,13.020486111111113,14.419704131652662,41.175000000000004,40.83095238095238,62.82083333333333,70.41190476190475
2019-04-09 00:00:00+00:00,26.037499999999998,50.0375,16.656944444444445,7.666666666666667,4,1,FALSE,14.200231481481486,12.84748190943044,37.09097222222223,38.5125,52.86805555555555,66.01488095238095
2019-04-10 00:00:00+00:00,13.575000000000001,79.37916666666666,14.939236111111112,7.211111111111111,4,2,FALSE,15.693171296296299,13.201301353874882,28.32986111111111,33.764880952380956,55.71527777777777,67.93154762
2019-04-11 00:00:00+00:00,19.927083333333332,79.5,34.38229166666667,24.529166666666665,4,3,FALSE,21.992824074074075,17.302132936507938,19.846527777777776,34.083035714285714,69.63888889,69.60297619047618
2019-04-12 00:00:00+00:00,37.65833333333333,96.68333333333334,27.511458333333334,17.306944444444444,4,4,FALSE,25.61099537037037,18.935912698412697,23.720138888888886,31.531845238095237,85.1875,70.58035714285714
2019-04-13 00:00:00+00:00,33.75625,85.67083333333333,27.625,19.694444444444443,4,5,TRUE,29.839583333333337,21.008382936507935,30.447222222222223,30.88422619047619,87.28472222222221,71.40535714285714
2019-04-14 00:00:00+00:00,23.29375,90.72916666666667,18.758333333333333,14.355555555555556,4,6,TRUE,24.631597222222226,22.193799603174604,31.569444444444443,28.517857142857142,91.02777777777777,74.24702380952382
2019-04-15 00:00:00+00:00,35.956250000000004,78.46666666666667,26.368750000000002,17.204166666666666,4,0,FALSE,24.250694444444445,23.748859126984126,31.00208333333333,27.17202380952381,84.95555555555556,80.06666666666668
2019-04-16 00:00:00+00:00,36.947916666666664,84.3,12.232291666666667,6.591666666666666,4,1,FALSE,19.119791666666668,23.116765873015872,32.06597222222222,28.730654761904763,84.49861111111112,84.96130952380952
